"name","dept","area","count","adjustedcount","year"
Aaron J. Elmore,University of Chicago,socc,1.0,0.16667,2016
Aaron J. Elmore,University of Chicago,socc,1.0,0.2,2017
Aaron J. Elmore,University of Chicago,socc,1.0,0.25,2021
Aarti Gupta,Princeton University,ecoop,1.0,0.2,2011
Aarti Gupta,Princeton University,socc,1.0,0.25,2014
Abbas Heydarnoori,Sharif University of Technology,cgo,1.0,0.25,2012
Abbas Heydarnoori,Sharif University of Technology,ecoop,1.0,0.33333,2009
Abhik Roychoudhury,National University of Singapore,ppopp,1.0,0.33333,2003
Abhishek Bhattacharjee,Yale University,cgo,1.0,0.16667,2022
Abhishek Chandra,University of Minnesota,socc,1.0,0.33333,2016
Abhishek Chandra,University of Minnesota,socc,1.0,0.33333,2018
Achim D. Brucker,University of Exeter,ecoop,1.0,0.5,2008
Ada Gavrilovska,Georgia Institute of Technology,cgo,1.0,0.33333,2019
Ada Gavrilovska,Georgia Institute of Technology,socc,1.0,0.33333,2010
Ada Gavrilovska,Georgia Institute of Technology,socc,1.0,0.33333,2014
Ada Gavrilovska,Georgia Institute of Technology,socc,1.0,0.16667,2018
Ada Gavrilovska,Georgia Institute of Technology,socc,1.0,0.25,2019
Ada Wai-Chee Fu,Chinese University of Hong Kong,socc,1.0,0.2,2019
Adam Belay,Massachusetts Institute of Technology,socc,1.0,0.125,2010
Adam Belay,Massachusetts Institute of Technology,socc,1.0,0.2,2015
Adam Morrison 0001,Tel Aviv University,ppopp,1.0,0.5,2013
Adam Morrison 0001,Tel Aviv University,ppopp,1.0,0.5,2015
Adam Morrison 0001,Tel Aviv University,ppopp,1.0,0.5,2020
Adam Morrison 0001,Tel Aviv University,ppopp,1.0,0.5,2021
Adam Rogalewicz,Brno University of Technology,ecoop,1.0,0.16667,2022
Adam Wierman,California Institute of Technology,socc,1.0,0.125,2021
Aditya Akella,University of Texas at Austin,socc,1.0,0.25,2013
Aditya Akella,University of Texas at Austin,socc,1.0,0.14286,2017
Aditya Akella,University of Texas at Austin,socc,1.0,0.2,2018
Aditya Akella,University of Texas at Austin,socc,2.0,0.58333,2020
Aditya Akella,University of Texas at Austin,socc,1.0,0.16667,2021
Aditya V. Thakur,Univ. of California - Davis,cgo,1.0,0.5,2008
Adrian Fiech,Memorial University of Newfoundland,ecoop,1.0,0.33333,1997
Adrian Francalanza,University of Malta,ecoop,1.0,0.25,2008
Adrian Francalanza,University of Malta,ecoop,1.0,0.33333,2021
Adrian Sandu,Virginia Tech,ppopp,1.0,0.16667,2009
Alain Darte,Ecole Normale Superieure de Lyon,cgo,1.0,0.33333,2007
Alain Darte,Ecole Normale Superieure de Lyon,cgo,1.0,0.2,2009
Alain Darte,Ecole Normale Superieure de Lyon,ppopp,1.0,0.5,2005
Alan Borning,University of Washington,ecoop,1.0,0.5,1987
Alan Borning,University of Washington,ecoop,1.0,0.5,1992
Alan Borning,University of Washington,ecoop,1.0,0.33333,1994
Alan Borning,University of Washington,ecoop,1.0,0.14286,2014
Alan J. Hu,University of British Columbia,socc,1.0,0.2,2022
Alan L. Cox,Rice University,ppopp,2.0,0.45,1997
Alan L. Cox,Rice University,ppopp,1.0,0.33333,2001
Alan Mycroft,University of Cambridge,ecoop,1.0,0.5,2008
Alastair F. Donaldson,Imperial College London,ecoop,2.0,0.83333,2020
Alastair F. Donaldson,Imperial College London,ppopp,1.0,0.33333,2014
Alba Cristina Magalhaes Alves de Melo,Universidade de Brasília,ppopp,1.0,0.5,2010
Albert Cohen 0001,Ecole Normale Superieure,cgo,1.0,0.25,2007
Albert Cohen 0001,Ecole Normale Superieure,cgo,2.0,0.325,2011
Albert Cohen 0001,Ecole Normale Superieure,cgo,1.0,0.33333,2013
Albert Cohen 0001,Ecole Normale Superieure,cgo,3.0,0.44286,2021
Albert Cohen 0001,Ecole Normale Superieure,ppopp,1.0,0.25,2013
Albert Y. Zomaya,University of Sydney,socc,1.0,0.14286,2021
Alberto Nannarelli,DTU,socc,1.0,1.0,2017
Alberto Nannarelli,DTU,socc,1.0,1.0,2019
Alberto Ros,University of Murcia,cgo,1.0,0.2,2017
Alberto Ros,University of Murcia,socc,1.0,0.5,2012
Alejandro P. Buchmann,TU Darmstadt,ecoop,1.0,0.25,2002
Alejandro P. Buchmann,TU Darmstadt,ecoop,1.0,0.2,2013
Aleksandar Nanevski,IMDEA Software Institute,ecoop,1.0,0.25,2017
Alessandro Biondi,Scuola Superiore Sant'Anna,socc,1.0,0.2,2017
Alessandro F. Garcia 0001,PUC-RIO,ecoop,1.0,0.090909,2007
